,key,twitter_user_id,politician_name,twitter_handle,x_coordinate,y_coordinate,political party,election year,country,twitter_active_during_election
188,12771478702014.0,1277147870,Laila Harre,lailaharre,-5,-2,Internet Mana,2014,NZ,True
189,316342332017.0,31634233,Bill English,RtHonBEnglish,8,6,National,2017,NZ,True
190,229597632017.0,22959763,Jacinda Ardern,jacindaardern,3,2,Labour,2017,NZ,True
191,3469440922017.0,346944092,Winston Peters,winstonpeters,-1,4,NZ First,2017,NZ,True
192,315831012017.0,31583101,James Shaw,jamespeshaw,-3,-3,Green,2017,NZ,True
193,233523832017.0,23352383,David Seymour,dbseymour,9,7,ACT,2017,NZ,True
194,2629098612017.0,262909861,Te Ururoa Flavell,TeUruroaFlavell,-1,0,Maori Party,2017,NZ,True
195,229597632020.0,22959763,Jacinda Ardern,jacindaardern,5,3,Labour,2020,NZ,True
196,7562278082020.0,756227808,Judith Collins,JudithCollinsMP,8,6,National,2020,NZ,True
197,315831012020.0,31583101,James Shaw,jamespeshaw,-3,-3,Green,2020,NZ,True
198,1474065612020.0,147406561,Marama Davidson,MaramaDavidson,-3,-3,Green,2020,NZ,True
199,233523832020.0,23352383,David Seymour,dbseymour,9,-1,ACT,2020,NZ,True
200,692095292020.0,69209529,John Tamihere,john_tamihere,0,0,Maori Party,2020,NZ,True
201,16135673352020.0,1613567335,Debbie Ngarewa-Packer,whaeadeb,0,0,Maori Party,2020,NZ,True
202,3469440922020.0,346944092,Winston Peters,winstonpeters,7,7,NZ First,2020,NZ,True
203,1.1809760326580141e+22,1180976032658014209,Christopher Luxon,chrisluxonmp,8,6,National,2023,NZ,True
204,257540562023.0,25754056,Chris Hipkins,chrishipkins,6,4,Labour,2023,NZ,True
205,315831012023.0,31583101,James Shaw,jamespeshaw,-2,-3,Green,2023,NZ,True
206,1474065612023.0,147406561,Marama Davidson,MaramaDavidson,-2,-3,Green,2023,NZ,True
207,233523832023.0,23352383,David Seymour,dbseymour,10,-2,ACT,2023,NZ,True
208,3469440922023.0,346944092,Winston Peters,winstonpeters,7,7,NZ First,2023,NZ,True
209,16135673352023.0,1613567335,Debbie Ngarewa-Packer,whaeadeb,-1,1,Te Pati Maori,2023,NZ,True
210,2008,null,Duncan Hunter,null,7,6,Republican,2008,USA,False
211,12008,null,John Edwards,null,2,1,Democratic,2008,USA,False
212,12012,null,Stewart Alexander,null,-5,-1,Socialist,2012,USA,False
213,22012,null,Rockey Anderson,null,4,-2,Justice,2012,USA,False
214,22008,null,Stephane Dion,null,2,3,Liberal,2008,CA,False
215,32008,null,Gilles Duceppe,null,-1,-1,Bloc Quebecios,2008,CA,False
216,12013,null,Angela Merkel,null,7,6,CDU/SCU,2013,DE,False
217,22013,null,Rainer Bruderle,null,8,-1,FDP,2013,DE,False
218,12010,null,Tony Crook,null,5,6,WA Nationals,2010,AUS,False
219,12011,null,Tariana Turia,null,-1,0,Maori Party,2011,NZ,False
220,12017,null,Marama Fox,null,-1,0,Maori Party,2017,NZ,False
